group_size,centroid_x,centroid_y
7919,222,420
8241,191,446
8732,172,452
8999,141,469
8703,97,500
8020,79,505
8326,78,515
7143,72,526
7474,63,541
8370,51,567
9009,45,580
9585,43,589
9686,45,592
9763,42,588
9806,44,586
9895,42,586
9640,41,582
9500,41,583
9499,41,582
9796,42,582
8608,42,567
9098,41,587
8543,41,591
8481,41,590
8445,41,590
12654,215,13
9010,261,9
8495,41,593
8397,41,591
7698,42,575
7202,304,7
7114,305,7
7101,304,7
7071,305,7
7146,305,7
7219,303,7
7223,303,7
7214,303,7
7210,41,585
10262,239,10
12295,210,13
9093,250,9
7908,37,601
7853,36,600
7903,36,599
7875,36,599
7858,36,599
7867,36,599
7868,36,599
7898,36,598
7875,36,599
7865,36,599
7911,36,599
7928,36,599
7865,36,599
7832,36,599
7836,36,599
7839,36,599
7841,36,599
7841,36,598
7835,36,598
10079,239,10
7808,37,601
7795,36,600
7763,36,599
7776,36,598
7795,36,599
7776,36,599
7796,36,598
7784,36,599
7753,36,599
7764,36,598
7740,36,599
7790,36,598
7736,36,599
7763,36,598
7744,36,598
7712,36,598
8114,38,596
7766,36,597
7732,36,598
7751,36,598
7736,36,598
7762,36,598
8236,39,596
8360,39,595
7211,34,601
7183,35,600
7212,35,600
7257,35,599
7215,35,600
7226,35,600
7206,35,600
7219,35,599
7234,35,600
7185,35,599
7162,35,600
7205,35,599
7171,35,600
7167,35,599
7166,35,600
7163,35,600
7181,35,600
7146,35,600
7111,35,600
7172,35,599
7179,35,599
7226,35,600
7126,35,599
7171,35,600
7150,35,600
7196,35,600
7197,34,600
7135,35,599
7127,35,600
7155,35,600
7134,34,599
6627,35,592
6568,304,7
6529,304,7
6561,304,7
7777,36,608
8265,41,613
8133,41,620
8111,49,624
8042,50,623
8005,62,632
8376,60,648
8724,64,658
9182,74,666
8897,88,668
8884,99,670
8794,99,670
9117,98,669
8876,99,669
8846,99,669
9107,98,668
8427,86,664
8222,83,662
8160,78,664
9022,90,670
9497,93,670
9544,94,670
9553,94,670
9531,94,670
9537,94,670
9558,93,670
9546,94,670
9546,93,670
9540,93,670
9559,93,670
9005,88,666
9706,100,665
10014,116,669
9298,120,678
9495,153,687
8070,226,701
9644,213,703
10396,229,700
10582,254,690
10485,269,690
8691,315,695
7739,342,690
9916,325,686
10109,351,681
10051,364,677
7573,420,661
7809,442,658
9257,421,653
9545,439,646
9411,461,628
9156,471,625
9193,480,621
9136,488,619
9321,501,621
9330,514,621
9036,521,621
9230,530,625
9389,534,620
9382,534,619
9387,534,619
9391,534,619
9387,534,619
9342,534,619
9344,534,619
9429,534,618
9383,528,617
9364,528,623
9594,528,631
9623,527,629
9623,518,635
9609,510,639
